transaction_id,account_id,amount,merchant_category,location,hour_of_day,day_of_week,timestamp,is_fraud
573,9,190.8,Entertainment,"Nice, France",18,3,2025-12-04 18:10:00,0
48481,5,681.82,Travel,"Lyon, France",2,0,2025-12-08 02:19:00,1
38514,2,223.36,Travel,"Paris, France",15,3,2025-12-04 15:59:00,0
31649,9,361.46,Clothing,"Marseille, France",9,3,2025-12-04 09:19:00,0
13499,8,362.98,Entertainment,"Marseille, France",17,5,2025-12-06 17:11:00,0
31648,13,411.66,Travel,"Marseille, France",14,0,2025-12-01 14:23:00,0
19218,9,434.55,Travel,"Marseille, France",8,0,2025-12-01 08:44:00,0
11290,6,255.22,Utilities,"Paris, France",13,0,2025-12-08 13:31:00,0
39205,5,58.39,Travel,"Nice, France",16,3,2025-12-04 16:10:00,0
26914,11,318.75,Electronics,Online,22,6,2025-12-07 22:34:00,0
12229,8,412.04,Utilities,"Paris, France",11,6,2025-12-07 11:28:00,0
3017,1,395.97,Health,Online,16,2,2025-12-03 16:59:00,0
43349,2,3073.12,Jewelry,"London, UK",5,4,2025-12-05 05:40:00,1
7367,8,250.39,Entertainment,Online,16,4,2025-12-05 16:08:00,0
33844,8,14.39,Fuel,"Marseille, France",11,0,2025-12-08 11:19:00,0
25570,1,498.1,Groceries,Online,13,5,2025-12-06 13:16:00,0
3765,3,281.27,Entertainment,"Nice, France",19,0,2025-12-01 19:30:00,0
30752,2,316.34,Travel,"Paris, France",15,4,2025-12-05 15:22:00,0
29028,13,180.25,Clothing,"Toulouse, France",12,0,2025-12-08 12:07:00,0
47582,4,750.54,Fuel,Nigeria,1,5,2025-12-06 01:56:00,1
8766,13,441.26,Entertainment,"Lyon, France",17,5,2025-12-06 17:52:00,0
15972,6,435.02,Clothing,"Paris, France",19,0,2025-12-01 19:48:00,0
35599,4,437.97,Health,"Paris, France",19,6,2025-12-07 19:07:00,0
35997,1,369.07,Clothing,"Toulouse, France",8,3,2025-12-04 08:24:00,0
1974,1,41.51,Clothing,"Toulouse, France",22,6,2025-12-07 22:40:00,0
30130,8,448.39,Health,"Nice, France",10,6,2025-12-07 10:43:00,0
47718,7,2716.17,Cryptocurrency,"Las Vegas, USA",6,3,2025-12-04 06:20:00,1
49849,4,2407.25,Jewelry,"London, UK",6,1,2025-12-02 06:17:00,1
21061,11,102.97,Electronics,"Lyon, France",8,0,2025-12-08 08:16:00,0
20981,7,222.33,Health,"Nice, France",9,6,2025-12-07 09:59:00,0
28895,13,25.42,Health,"Toulouse, France",21,0,2025-12-08 21:54:00,0
16920,4,188.47,Groceries,"Marseille, France",11,4,2025-12-05 11:08:00,0
7817,12,436.14,Electronics,Online,8,5,2025-12-06 08:00:00,0
25508,12,48.01,Health,"Paris, France",18,4,2025-12-05 18:05:00,0
49014,2,1641.26,Groceries,"Las Vegas, USA",3,2,2025-12-03 03:41:00,1
48380,1,3078.89,Jewelry,"Nice, France",16,2,2025-12-03 16:32:00,1
23935,7,451.22,Fuel,"Lyon, France",17,3,2025-12-04 17:06:00,0
27136,2,219.87,Utilities,"Marseille, France",10,6,2025-12-07 10:45:00,0
2327,10,247.95,Travel,"Toulouse, France",11,0,2025-12-08 11:19:00,0
4100,5,150.2,Fuel,"Marseille, France",15,1,2025-12-02 15:38:00,0
27631,5,378.94,Fuel,"Marseille, France",11,2,2025-12-03 11:51:00,0
14697,1,179.29,Health,Online,18,0,2025-12-01 18:20:00,0
8082,8,215.54,Travel,"Lyon, France",12,6,2025-12-07 12:54:00,0
32408,3,146.77,Fuel,"Nice, France",20,1,2025-12-02 20:48:00,0
2461,10,306.65,Fuel,"Toulouse, France",17,0,2025-12-08 17:56:00,0
26035,12,111.72,Fuel,"Lyon, France",12,3,2025-12-04 12:46:00,0
4004,11,194.95,Travel,Online,20,2,2025-12-03 20:18:00,0
27448,13,112.28,Entertainment,Online,8,6,2025-12-07 08:58:00,0
1925,5,469.49,Fuel,"Toulouse, France",19,5,2025-12-06 19:57:00,0
6794,2,170.62,Groceries,"Marseille, France",9,2,2025-12-03 09:58:00,0
11653,6,415.88,Utilities,"Toulouse, France",21,1,2025-12-02 21:24:00,0
24513,10,467.16,Entertainment,"Paris, France",21,6,2025-12-07 21:57:00,0
21472,8,291.57,Clothing,"Marseille, France",13,4,2025-12-05 13:31:00,0
49504,4,1643.33,Jewelry,"Lyon, France",7,1,2025-12-02 07:12:00,1
9555,11,488.62,Utilities,"Nice, France",19,0,2025-12-01 19:56:00,0
10486,6,134.01,Fuel,Online,11,0,2025-12-08 11:03:00,0
39491,6,482.93,Food & Beverage,"Nice, France",10,3,2025-12-04 10:40:00,0
21055,5,428.94,Entertainment,"Lyon, France",9,2,2025-12-03 09:29:00,0
19606,8,293.1,Fuel,"Lyon, France",18,3,2025-12-04 18:39:00,0
11028,3,196.49,Utilities,"Nice, France",22,4,2025-12-05 22:58:00,0
12686,12,338.36,Electronics,"Paris, France",16,5,2025-12-06 16:44:00,0
2374,4,363.83,Groceries,"Nice, France",8,2,2025-12-03 08:21:00,0
40257,6,3824.83,Fuel,"Marseille, France",18,6,2025-12-07 18:30:00,1
48433,12,4246.24,Jewelry,"Lyon, France",23,0,2025-12-08 23:12:00,1
1818,4,407.93,Utilities,"Nice, France",21,5,2025-12-06 21:48:00,0
30840,8,46.43,Utilities,"Toulouse, France",13,1,2025-12-02 13:44:00,0
23193,1,394.22,Utilities,"Marseille, France",20,4,2025-12-05 20:18:00,0
19280,7,378.14,Utilities,"Lyon, France",9,2,2025-12-03 09:32:00,0
6466,9,133.43,Clothing,"Lyon, France",16,4,2025-12-05 16:26:00,0
49226,7,1379.19,Jewelry,Hong Kong,0,3,2025-12-04 00:43:00,1
10901,5,92.82,Clothing,"Paris, France",11,3,2025-12-04 11:27:00,0
36639,12,50.67,Electronics,"Toulouse, France",17,2,2025-12-03 17:45:00,0
45178,5,3768.61,Electronics,"Paris, France",10,2,2025-12-03 10:32:00,1
23846,4,50.13,Food & Beverage,"Nice, France",14,4,2025-12-05 14:50:00,0
49451,1,607.95,Entertainment,"Las Vegas, USA",3,3,2025-12-04 03:41:00,1
457,6,102.55,Electronics,"Marseille, France",18,0,2025-12-08 18:33:00,0
977,9,384.26,Food & Beverage,"Paris, France",17,4,2025-12-05 17:40:00,0
38725,12,306.73,Entertainment,"Nice, France",17,5,2025-12-06 17:58:00,0
43411,7,546.26,Food & Beverage,"Las Vegas, USA",20,3,2025-12-04 20:36:00,1
20650,7,247.24,Health,Online,10,5,2025-12-06 10:21:00,0
32495,9,129.77,Electronics,"Lyon, France",22,3,2025-12-04 22:18:00,0
6662,8,417.66,Health,"Toulouse, France",9,3,2025-12-04 09:58:00,0
42521,7,931.75,Travel,"Toulouse, France",1,0,2025-12-08 01:05:00,1
20185,3,265.17,Utilities,"Lyon, France",16,1,2025-12-02 16:14:00,0
42587,5,1000.52,Fuel,"Las Vegas, USA",4,0,2025-12-01 04:22:00,1
1275,7,51.01,Utilities,"Marseille, France",15,3,2025-12-04 15:41:00,0
26297,12,188.53,Fuel,"Lyon, France",22,1,2025-12-02 22:42:00,0
31008,7,495.4,Clothing,"Lyon, France",13,6,2025-12-07 13:20:00,0
41487,1,4734.52,Gambling,"Las Vegas, USA",1,4,2025-12-05 01:11:00,1
21070,12,17.67,Food & Beverage,"Toulouse, France",10,1,2025-12-02 10:19:00,0
13819,13,306.97,Fuel,"Lyon, France",12,2,2025-12-03 12:18:00,0
47415,11,3025.98,Travel,Hong Kong,4,5,2025-12-06 04:10:00,1
5923,9,31.71,Clothing,"Paris, France",12,1,2025-12-02 12:01:00,0
8783,5,192.06,Entertainment,"Nice, France",13,0,2025-12-01 13:54:00,0
36245,6,236.29,Electronics,"Toulouse, France",16,0,2025-12-08 16:18:00,0
1092,6,219.95,Fuel,"Nice, France",10,0,2025-12-01 10:26:00,0
16526,7,164.65,Entertainment,"Toulouse, France",16,0,2025-12-01 16:07:00,0
6002,5,100.79,Groceries,"Paris, France",17,4,2025-12-05 17:07:00,0
20353,5,153.76,Electronics,Online,16,5,2025-12-06 16:27:00,0
16616,2,363.36,Groceries,"Lyon, France",17,5,2025-12-06 17:22:00,0
15729,13,45.3,Fuel,"Marseille, France",19,0,2025-12-08 19:43:00,0
20224,2,158.16,Health,"Paris, France",21,0,2025-12-08 21:32:00,0
1755,8,376.22,Utilities,"Paris, France",18,0,2025-12-08 18:32:00,0
4230,7,147.86,Fuel,"Lyon, France",20,0,2025-12-01 20:51:00,0
14216,13,471.26,Groceries,"Marseille, France",19,6,2025-12-07 19:59:00,0
5880,12,183.99,Fuel,Online,8,2,2025-12-03 08:38:00,0
32573,6,22.17,Food & Beverage,"Toulouse, France",21,3,2025-12-04 21:40:00,0
239,11,161.49,Entertainment,"Paris, France",15,0,2025-12-08 15:40:00,0
15243,7,424.2,Health,"Toulouse, France",13,4,2025-12-05 13:09:00,0
33006,5,486.05,Travel,"Nice, France",10,6,2025-12-07 10:31:00,0
36661,12,374.38,Food & Beverage,"Nice, France",21,3,2025-12-04 21:48:00,0
41841,2,2720.74,Gambling,"London, UK",3,2,2025-12-03 03:47:00,1
25446,3,474.3,Utilities,"Toulouse, France",11,4,2025-12-05 11:37:00,0
14252,6,77.51,Food & Beverage,"Paris, France",21,0,2025-12-01 21:47:00,0
20215,9,314.08,Entertainment,"Nice, France",10,6,2025-12-07 10:14:00,0
14534,2,212.68,Electronics,"Lyon, France",19,0,2025-12-01 19:26:00,0
7431,3,313.94,Food & Beverage,"Lyon, France",19,6,2025-12-07 19:31:00,0
26369,10,427.56,Utilities,"Lyon, France",18,3,2025-12-04 18:07:00,0
47571,13,2094.83,Utilities,Hong Kong,15,6,2025-12-07 15:01:00,1
40892,12,710.74,Gambling,Online,4,0,2025-12-01 04:25:00,1
6298,6,388.92,Health,"Paris, France",8,0,2025-12-01 08:56:00,0
37893,3,243.38,Food & Beverage,"Nice, France",21,0,2025-12-08 21:21:00,0
23360,1,424.04,Utilities,"Marseille, France",11,3,2025-12-04 11:58:00,0
38912,11,126.93,Travel,"Nice, France",12,5,2025-12-06 12:46:00,0
21307,8,87.79,Groceries,"Marseille, France",8,1,2025-12-02 08:40:00,0
3551,7,439.7,Groceries,"Paris, France",9,3,2025-12-04 09:27:00,0
24899,11,114.44,Health,"Marseille, France",9,4,2025-12-05 09:24:00,0
22428,12,496.97,Fuel,"Nice, France",18,3,2025-12-04 18:05:00,0
21167,11,318.97,Clothing,"Marseille, France",17,6,2025-12-07 17:37:00,0
34571,9,277.34,Travel,"Nice, France",8,0,2025-12-08 08:23:00,0
5444,12,441.59,Clothing,"Nice, France",21,5,2025-12-06 21:32:00,0
21671,5,431.76,Electronics,Online,10,3,2025-12-04 10:00:00,0
4941,11,210.46,Entertainment,"Nice, France",12,1,2025-12-02 12:09:00,0
20984,5,68.13,Food & Beverage,"Marseille, France",10,2,2025-12-03 10:45:00,0
497,4,47.91,Electronics,"Lyon, France",20,1,2025-12-02 20:37:00,0
7163,12,309.49,Utilities,"Paris, France",8,0,2025-12-08 08:41:00,0
30895,13,278.55,Electronics,"Marseille, France",17,5,2025-12-06 17:55:00,0
5159,6,415.42,Food & Beverage,"Marseille, France",12,2,2025-12-03 12:00:00,0
7295,4,364.57,Fuel,"Marseille, France",18,0,2025-12-01 18:14:00,0
13548,11,334.07,Clothing,"Paris, France",8,4,2025-12-05 08:19:00,0
28618,13,403.06,Utilities,"Paris, France",22,0,2025-12-08 22:28:00,0
49950,2,782.25,Health,Russia,0,1,2025-12-02 00:53:00,1
33406,2,98.99,Electronics,"Lyon, France",8,3,2025-12-04 08:26:00,0
39683,8,328.64,Utilities,"Toulouse, France",21,0,2025-12-08 21:31:00,0
44469,5,2048.75,Cryptocurrency,"London, UK",21,6,2025-12-07 21:48:00,1
1497,5,376.52,Fuel,Online,13,5,2025-12-06 13:15:00,0
48426,12,1379.89,Travel,"Dubai, UAE",17,0,2025-12-08 17:45:00,1
38457,3,393.11,Electronics,"Nice, France",22,1,2025-12-02 22:17:00,0
8689,12,468.32,Health,Online,12,0,2025-12-08 12:16:00,0
1732,2,459.14,Health,"Toulouse, France",11,6,2025-12-07 11:21:00,0
9813,7,481.36,Groceries,"Nice, France",17,0,2025-12-08 17:44:00,0
33338,3,356.46,Fuel,"Lyon, France",14,0,2025-12-08 14:16:00,0
11633,1,256.46,Clothing,"Lyon, France",16,0,2025-12-08 16:01:00,0
43367,8,4756.55,Jewelry,"London, UK",20,0,2025-12-08 20:20:00,1
35099,1,253.38,Health,Online,8,6,2025-12-07 08:14:00,0
11354,1,256.01,Fuel,"Paris, France",17,5,2025-12-06 17:50:00,0
21553,6,129.85,Utilities,"Lyon, France",16,4,2025-12-05 16:36:00,0
667,3,42.06,Entertainment,"Marseille, France",11,5,2025-12-06 11:17:00,0
39279,4,165.31,Fuel,"Toulouse, France",13,3,2025-12-04 13:14:00,0
43317,9,1332.11,Fuel,"Nice, France",0,1,2025-12-02 00:29:00,1
13942,11,127.44,Clothing,"Lyon, France",17,5,2025-12-06 17:47:00,0
28001,7,307.22,Electronics,"Nice, France",22,2,2025-12-03 22:38:00,0
11953,2,226.07,Food & Beverage,"Paris, France",9,2,2025-12-03 09:06:00,0
27626,8,240.57,Health,"Lyon, France",9,3,2025-12-04 09:14:00,0
37622,7,27.66,Food & Beverage,Online,19,5,2025-12-06 19:54:00,0
17783,1,155.63,Entertainment,"Toulouse, France",15,0,2025-12-08 15:51:00,0
46391,5,744.8,Electronics,"Nice, France",5,4,2025-12-05 05:46:00,1
47122,8,477.57,Health,Hong Kong,5,3,2025-12-04 05:34:00,1
28956,5,144.08,Groceries,"Nice, France",8,4,2025-12-05 08:54:00,0
11153,7,199.62,Utilities,"Toulouse, France",18,0,2025-12-01 18:08:00,0
3914,4,137.99,Health,"Marseille, France",20,3,2025-12-04 20:32:00,0
16325,6,344.56,Groceries,Online,17,5,2025-12-06 17:05:00,0
16000,3,119.74,Clothing,"Paris, France",22,4,2025-12-05 22:57:00,0
18317,11,469.63,Entertainment,"Paris, France",14,2,2025-12-03 14:33:00,0
8899,4,491.25,Entertainment,"Lyon, France",13,1,2025-12-02 13:05:00,0
32419,8,242.66,Electronics,"Nice, France",12,6,2025-12-07 12:23:00,0
49829,5,2741.16,Groceries,Nigeria,19,6,2025-12-07 19:29:00,1
47144,9,861.01,Gambling,"Marseille, France",19,6,2025-12-07 19:29:00,1
23219,12,140.97,Entertainment,"Lyon, France",21,6,2025-12-07 21:40:00,0
36760,3,244.9,Fuel,"Marseille, France",12,1,2025-12-02 12:07:00,0
16673,4,223.44,Fuel,"Nice, France",16,4,2025-12-05 16:38:00,0
24398,8,11.23,Health,"Lyon, France",20,2,2025-12-03 20:59:00,0
22606,5,455.38,Clothing,"Paris, France",12,5,2025-12-06 12:01:00,0
5469,13,432.79,Health,Online,15,3,2025-12-04 15:33:00,0
39766,6,60.24,Health,"Marseille, France",20,6,2025-12-07 20:54:00,0
15339,4,335.86,Food & Beverage,"Paris, France",15,1,2025-12-02 15:16:00,0
4547,4,456.51,Clothing,Online,16,0,2025-12-01 16:20:00,0
22680,1,51.67,Utilities,"Lyon, France",18,5,2025-12-06 18:09:00,0
13405,2,32.75,Health,"Lyon, France",21,0,2025-12-01 21:00:00,0
9327,3,188.97,Food & Beverage,"Lyon, France",8,3,2025-12-04 08:21:00,0
46350,4,3274.38,Health,"London, UK",0,6,2025-12-07 00:10:00,1
26581,12,193.76,Clothing,"Paris, France",10,4,2025-12-05 10:43:00,0
17960,11,91.07,Groceries,"Lyon, France",8,4,2025-12-05 08:20:00,0
40481,8,1573.14,Jewelry,Nigeria,15,1,2025-12-02 15:16:00,1
30525,13,474.34,Food & Beverage,"Paris, France",19,2,2025-12-03 19:33:00,0
11509,7,341.05,Electronics,"Paris, France",20,1,2025-12-02 20:54:00,0
11081,10,82.25,Electronics,Online,14,5,2025-12-06 14:04:00,0
25539,1,458.18,Food & Beverage,"Toulouse, France",10,0,2025-12-01 10:12:00,0
14125,10,462.88,Health,"Paris, France",13,2,2025-12-03 13:02:00,0
25006,8,301.68,Groceries,Online,8,5,2025-12-06 08:45:00,0
44177,6,1032.81,Health,Hong Kong,5,1,2025-12-02 05:03:00,1
14990,4,295.69,Utilities,"Nice, France",12,3,2025-12-04 12:59:00,0
40875,3,1987.82,Utilities,Russia,6,2,2025-12-03 06:44:00,1
13085,8,470.65,Fuel,"Paris, France",13,5,2025-12-06 13:11:00,0
37711,9,248.99,Groceries,"Toulouse, France",20,2,2025-12-03 20:42:00,0
32036,1,189.73,Health,"Paris, France",16,5,2025-12-06 16:24:00,0
7406,1,348.73,Electronics,Online,19,0,2025-12-08 19:17:00,0
31216,4,345.02,Travel,Online,9,0,2025-12-01 09:01:00,0
8422,9,230.77,Entertainment,"Nice, France",9,5,2025-12-06 09:56:00,0
28878,10,356.46,Health,"Lyon, France",16,1,2025-12-02 16:32:00,0
15836,12,311.07,Fuel,"Paris, France",20,3,2025-12-04 20:15:00,0
4320,3,447.35,Groceries,"Lyon, France",16,6,2025-12-07 16:54:00,0
34993,11,271.83,Clothing,"Nice, France",16,4,2025-12-05 16:49:00,0
19981,5,452.2,Groceries,"Nice, France",18,0,2025-12-08 18:35:00,0
12963,2,492.59,Groceries,"Lyon, France",10,0,2025-12-01 10:14:00,0
8249,12,323.84,Groceries,"Marseille, France",14,2,2025-12-03 14:44:00,0
21878,4,385.33,Groceries,Online,13,1,2025-12-02 13:31:00,0
32839,1,160.39,Travel,"Nice, France",16,2,2025-12-03 16:59:00,0
19984,11,489.58,Groceries,"Lyon, France",15,5,2025-12-06 15:19:00,0
29424,3,280.39,Electronics,"Nice, France",16,0,2025-12-08 16:56:00,0
49035,9,1894.66,Jewelry,Online,4,6,2025-12-07 04:39:00,1
37872,6,456.73,Clothing,"Toulouse, France",15,5,2025-12-06 15:13:00,0
8930,2,58.22,Fuel,Online,22,2,2025-12-03 22:51:00,0
7885,10,141.9,Clothing,"Nice, France",11,6,2025-12-07 11:04:00,0
16404,8,181.29,Clothing,"Nice, France",20,3,2025-12-04 20:17:00,0
3365,12,382.21,Utilities,"Marseille, France",20,6,2025-12-07 20:30:00,0
29024,7,265.44,Travel,"Lyon, France",17,6,2025-12-07 17:32:00,0
41310,8,583.94,Groceries,"Marseille, France",5,4,2025-12-05 05:17:00,1
13346,11,47.48,Groceries,"Paris, France",10,6,2025-12-07 10:33:00,0
4369,7,114.9,Clothing,"Toulouse, France",22,0,2025-12-01 22:43:00,0
8594,3,282.87,Food & Beverage,"Nice, France",22,5,2025-12-06 22:58:00,0
46565,11,2246.31,Gambling,"Las Vegas, USA",11,5,2025-12-06 11:55:00,1
17196,9,14.25,Food & Beverage,"Toulouse, France",16,0,2025-12-01 16:03:00,0
6182,13,91.02,Health,"Paris, France",19,0,2025-12-08 19:23:00,0
45977,8,2583.04,Gambling,"Las Vegas, USA",12,1,2025-12-02 12:15:00,1
14572,1,223.36,Utilities,"Toulouse, France",13,6,2025-12-07 13:20:00,0
1893,3,365.44,Health,"Toulouse, France",22,1,2025-12-02 22:03:00,0
1857,4,20.91,Clothing,"Lyon, France",20,6,2025-12-07 20:27:00,0
42078,4,3334.66,Jewelry,"Toulouse, France",9,5,2025-12-06 09:34:00,1
33475,5,57.61,Electronics,Online,21,2,2025-12-03 21:33:00,0
46833,8,1144.6,Travel,"Dubai, UAE",3,0,2025-12-08 03:21:00,1
19012,9,437.9,Electronics,"Paris, France",8,5,2025-12-06 08:36:00,0
27744,9,107.04,Travel,"Marseille, France",8,0,2025-12-08 08:46:00,0
15929,12,402.06,Food & Beverage,Online,19,4,2025-12-05 19:48:00,0
32110,9,144.09,Travel,"Marseille, France",10,5,2025-12-06 10:31:00,0
38838,7,383.33,Entertainment,"Paris, France",12,0,2025-12-08 12:30:00,0
36138,2,156.35,Electronics,"Toulouse, France",13,5,2025-12-06 13:38:00,0
14461,11,316.14,Utilities,Online,20,6,2025-12-07 20:56:00,0
49189,7,2660.05,Jewelry,"Las Vegas, USA",11,5,2025-12-06 11:50:00,1
31727,3,16.66,Clothing,"Lyon, France",15,4,2025-12-05 15:10:00,0
1126,12,60.6,Entertainment,"Paris, France",10,1,2025-12-02 10:19:00,0
44500,5,1339.17,Cryptocurrency,"London, UK",1,4,2025-12-05 01:02:00,1
7798,1,454.2,Clothing,"Marseille, France",22,1,2025-12-02 22:31:00,0
22596,12,157.98,Health,"Marseille, France",19,2,2025-12-03 19:53:00,0
